"Activity" "Subject" "mean" "sd"
"LAYING" 10 0.276977089565657 0.067889451208146
"LAYING" 12 0.27360872421875 0.0640651501244642
"LAYING" 13 0.275895876198777 0.0504880870419733
"LAYING" 18 0.276324152142857 0.0372825510389882
"LAYING" 20 0.268425757926554 0.0851765094885771
"LAYING" 24 0.276767046391076 0.0475613280637211
"SITTING" 22 0.242298449272727 0.0984247350677969
"SITTING" 23 0.273493254730108 0.0529000996173783
"SITTING" 25 0.275301467772127 0.111687313980213
"SITTING" 26 0.2730365808625 0.0659190514649227
"SITTING" 27 0.277264567074468 0.0441440190455427
"SITTING" 28 0.278739266553398 0.0492163777662248
"STANDING" 2 0.273113115788079 0.0488003650890643
"STANDING" 4 0.274183111498423 0.0574525622689326
"STANDING" 9 0.270313841621528 0.0779321011933811
"STANDING" 10 0.276583204166667 0.056957938729141
"STANDING" 28 0.276120153465909 0.0562886043727072
"STANDING" 29 0.279111521944767 0.0610027772720881
"STANDING" 30 0.276305836721932 0.0563222174880812
"WALKING" 1 0.265696920582133 0.0834773510461849
"WALKING" 3 0.273428719636364 0.0609334885522471
"WALKING" 5 0.279177960301325 0.0634538111367971
"WALKING" 6 0.272376614181538 0.0964766928039511
"WALKING" 7 0.270211697814935 0.076678114102808
"WALKING" 8 0.278268887727273 0.0442622814241973
"WALKING_DOWNSTAIRS" 17 0.273849441115044 0.05508803759913
"WALKING_DOWNSTAIRS" 19 0.269723487105556 0.0675334333116848
"WALKING_DOWNSTAIRS" 21 0.277466525522059 0.0559786106114403
"WALKING_DOWNSTAIRS" 22 0.277156731173244 0.0632082024163038
"WALKING_UPSTAIRS" 8 0.266674048906593 0.0849453935659189
"WALKING_UPSTAIRS" 11 0.27658531139557 0.0513614276757533
"WALKING_UPSTAIRS" 14 0.270184596009288 0.115350518329306
"WALKING_UPSTAIRS" 15 0.27821340725 0.0615684188167774
"WALKING_UPSTAIRS" 16 0.277887440374317 0.0567643057750251
"WALKING_UPSTAIRS" 17 0.276134936206897 0.00681632690779248
